Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
13,1763667729.993048,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,203.60
15,1763667730.198687,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,171.91
17,1763667730.354317,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,142.19
19,1763667730.552132,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,177.65
22,1763667730.709819,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,140.56
25,1763667730.864161,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,140.27
27,1763667731.014623,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,135.00
29,1763667731.235223,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,206.09
31,1763667731.441464,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,192.17
33,1763667731.649876,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,192.54
35,1763667731.855615,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,191.08
37,1763667732.066324,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,196.02
39,1763667732.270270,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,189.34
41,1763667732.477529,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,194.24
43,1763667732.684097,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,192.91
45,1763667732.891983,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,194.65
47,1763667733.100034,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,193.80
49,1763667733.305726,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,190.59
51,1763667733.513401,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,193.73
53,1763667733.719851,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,192.05
55,1763667733.927105,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,193.00
57,1763667734.133614,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,192.61
59,1763667734.345448,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,197.38
61,1763667734.548016,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,189.09
63,1763667734.755610,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,194.26
65,1763667734.962119,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,192.20
67,1763667735.169890,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,194.24
69,1763667735.472649,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,288.66
71,1763667735.687360,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,200.98
73,1763667735.894640,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,193.11
75,1763667736.099774,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,191.35
77,1763667736.294371,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,181.74
79,1763667736.491747,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,184.68
81,1763667736.689134,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,184.45
83,1763667736.886595,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,184.85
85,1763667737.084229,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,184.00
87,1763667737.248117,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,150.64
89,1763667737.389807,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,128.43
91,1763667737.581757,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,178.71
93,1763667737.780074,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,185.15
95,1763667737.977747,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,184.82
97,1763667738.176870,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,185.41
99,1763667738.376769,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,186.42
101,1763667738.520706,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,130.52
103,1763667738.676376,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,141.95
105,1763667738.876801,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,187.07
107,1763667739.076575,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,186.20
109,1763667739.276206,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,186.19
111,1763667739.476721,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,186.96
113,1763667739.677494,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,187.29
115,1763667739.877982,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,187.30
117,1763667740.079093,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,187.78
119,1763667740.281031,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,188.72
121,1763667740.425154,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,130.40
123,1763667740.571864,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,133.36
125,1763667740.783442,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,198.59
127,1763667740.985004,172.31.100.255:49606,35.172.145.92:443,TLS,-,-,-,-,-,-,188.13
