Metric,Value
Conteggio,12
Min (ms),1060.52
P50 (ms),11353.79
P90 (ms),11563.02
P95 (ms),11563.02
Max (ms),12092.58
Media (ms),9714.66
Operazione: https://didcomm.org/routing/2.0/forward,2
