Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
33,1763236837.872834,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,121.75
39,1763236838.016020,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,123.57
41,1763236838.148862,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,119.88
43,1763236838.287204,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,120.34
45,1763236838.424733,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,123.54
47,1763236838.565418,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.99
49,1763236838.701035,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,122.04
51,1763236838.837168,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,122.29
53,1763236838.971809,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,120.12
55,1763236839.112844,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.56
57,1763236839.252435,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,125.15
59,1763236839.393220,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.34
61,1763236839.535291,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,128.23
63,1763236839.674454,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,125.58
65,1763236839.814822,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,127.79
67,1763236839.955168,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.07
69,1763236840.097089,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,129.18
71,1763236840.236978,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.76
73,1763236840.375256,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,125.36
75,1763236840.513924,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.54
77,1763236840.659830,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,132.97
79,1763236840.802059,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,130.69
81,1763236840.974062,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,159.12
83,1763236841.111633,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,124.81
85,1763236841.250216,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.09
87,1763236841.389859,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.72
89,1763236841.528243,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.03
91,1763236841.663008,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,123.82
93,1763236841.803532,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,127.78
98,1763236841.944470,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,127.12
100,1763236842.086653,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,128.85
102,1763236842.230855,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,130.84
104,1763236842.374728,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,130.02
106,1763236842.515198,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,127.41
108,1763236842.660981,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,132.00
110,1763236842.803061,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,127.42
117,1763236842.974915,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,156.99
119,1763236843.116189,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.88
121,1763236843.256220,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,127.18
123,1763236843.437627,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,167.35
127,1763236843.582105,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,130.23
131,1763236843.729343,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,122.47
133,1763236843.868982,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,125.89
135,1763236844.008660,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.08
137,1763236844.149061,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,126.36
139,1763236844.288856,172.31.100.255:38408,44.214.111.58:443,TLS,-,-,-,-,-,-,125.66
161,1763236844.824700,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,122.70
163,1763236844.967677,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.94
165,1763236845.104161,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,124.75
167,1763236845.239895,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,124.24
171,1763236845.378678,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,126.57
176,1763236845.519422,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,128.14
179,1763236845.656176,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,124.42
181,1763236845.796112,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,127.50
183,1763236845.934247,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,126.53
185,1763236846.078155,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.29
187,1763236846.222005,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.86
189,1763236846.363765,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,128.59
193,1763236846.507771,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,132.00
196,1763236846.651038,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.57
199,1763236846.793899,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,129.72
201,1763236846.935460,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,129.61
203,1763236847.079873,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,132.36
205,1763236847.223174,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,129.38
207,1763236847.367160,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.73
209,1763236847.510014,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.75
213,1763236847.662443,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,138.79
217,1763236847.805949,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.81
219,1763236847.954204,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,134.81
221,1763236848.096927,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.53
223,1763236848.240226,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,129.80
225,1763236848.384029,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.99
227,1763236848.527583,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.86
231,1763236848.672783,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,132.69
234,1763236848.819558,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,133.25
237,1763236848.964571,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.89
239,1763236849.109282,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.79
241,1763236849.259609,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,137.49
243,1763236849.404065,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,131.33
250,1763236849.547391,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,130.40
254,1763236849.695750,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,135.51
258,1763236849.835542,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,126.70
263,1763236849.978677,172.31.100.255:60636,44.214.111.58:443,TLS,-,-,-,-,-,-,124.61
