Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
19,1763235999.786889,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,116.66
21,1763235999.928889,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,122.14
23,1763236000.055898,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,115.25
25,1763236000.188825,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,118.40
27,1763236000.316246,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,114.45
29,1763236000.443319,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,114.33
31,1763236000.576795,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,120.45
37,1763236000.710054,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,120.47
39,1763236000.840827,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,118.16
41,1763236000.977884,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,124.27
43,1763236001.112204,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,122.10
45,1763236001.301088,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,176.52
47,1763236001.510014,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,196.79
49,1763236001.663520,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,141.25
51,1763236001.812594,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,137.14
53,1763236001.972094,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,147.58
55,1763236002.125174,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,140.98
57,1763236002.258503,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,121.20
59,1763236002.400390,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,130.24
61,1763236002.540993,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,128.34
63,1763236002.673888,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,120.32
65,1763236002.813512,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,126.53
67,1763236002.949330,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,122.60
69,1763236003.085619,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,123.19
71,1763236003.219106,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,121.28
73,1763236003.352605,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,121.07
75,1763236003.488757,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,123.69
77,1763236003.627248,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,125.86
79,1763236003.763369,172.31.100.255:59702,34.192.170.154:443,TLS,-,-,-,-,-,-,123.70
