Metric,Value
Conteggio,12
Min (ms),973.88
P50 (ms),11741.85
P90 (ms),12520.55
P95 (ms),12520.55
Max (ms),12798.90
Media (ms),10074.90
Operazione: https://didcomm.org/routing/2.0/forward,2
