Metric,Value
Conteggio,12.00
Min (ms),1413.28
P50 (ms),29752.26
P90 (ms),30296.78
P95 (ms),30296.78
Max (ms),30724.45
Media (ms),25137.07
Operazione: https://didcomm.org/routing/2.0/forward,2.00
