Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
602,1763573488.767138,127.0.0.1:40570,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30259.70
1651,1763573605.106806,127.0.0.1:41048,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30369.50
2656,1763573692.133544,127.0.0.1:59414,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,29949.03
3646,1763573775.078842,127.0.0.1:58880,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30869.07
4594,1763573851.775480,127.0.0.1:33452,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30047.89
5550,1763573928.485371,127.0.0.1:51882,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30160.05
6262,1763573989.111787,127.0.0.1:3000,127.0.0.1:59320,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,2e192f82-0d37-47f3-adf3-3191949fb113,2e192f82-0d37-47f3-adf3-3191949fb113,0.00,1388.62
6875,1763574033.953206,127.0.0.1:42494,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,29639.94
7812,1763574109.310584,127.0.0.1:51034,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30512.05
8519,1763574169.747145,127.0.0.1:3000,127.0.0.1:35294,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,d54961cb-d617-4cbb-af19-8bbb248a0d3c,d54961cb-d617-4cbb-af19-8bbb248a0d3c,0.00,1689.86
9142,1763574215.601742,127.0.0.1:52346,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30238.31
10087,1763574292.514301,127.0.0.1:47344,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30655.79
