Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
17,1763572548.435631,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,198.55
19,1763572548.641570,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,174.24
21,1763572548.771901,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,116.59
23,1763572548.946825,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,154.25
25,1763572549.152914,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.56
27,1763572549.357075,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,188.30
29,1763572549.561650,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,189.35
31,1763572549.766394,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.14
33,1763572549.973763,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.87
35,1763572550.176179,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,185.82
37,1763572550.381252,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.32
39,1763572550.586366,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.29
41,1763572550.791356,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.40
43,1763572550.995092,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,189.56
45,1763572551.199841,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.86
49,1763572551.334823,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,121.07
51,1763572551.507259,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,158.28
53,1763572551.712993,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.37
55,1763572551.917487,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.73
57,1763572552.121852,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.59
59,1763572552.326757,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.67
61,1763572552.531391,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,189.33
63,1763572552.736541,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.90
65,1763572552.941016,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.93
67,1763572553.145724,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.89
69,1763572553.350769,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.62
71,1763572553.555616,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.12
73,1763572553.760267,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.98
75,1763572553.964988,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.90
77,1763572554.169547,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.45
79,1763572554.375082,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,192.12
81,1763572554.580185,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.79
83,1763572554.785602,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.47
85,1763572554.989570,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.33
87,1763572555.193878,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.60
89,1763572555.399274,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,192.07
91,1763572555.604388,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.27
93,1763572555.809744,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.59
95,1763572556.013209,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,189.73
97,1763572556.217787,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.97
99,1763572556.423289,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,192.02
101,1763572556.627467,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.05
103,1763572556.833055,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.85
105,1763572557.041328,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,194.55
107,1763572557.242200,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,186.65
109,1763572557.447186,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.04
111,1763572557.651735,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.77
113,1763572557.860426,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,195.04
115,1763572558.061262,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,186.98
117,1763572558.266565,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.56
119,1763572558.471518,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.15
121,1763572558.675888,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.69
123,1763572558.880465,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,190.83
125,1763572559.085499,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,191.08
127,1763572559.225699,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,126.85
129,1763572559.392314,172.31.100.255:49346,35.172.145.92:443,TLS,-,-,-,-,-,-,153.04
