Metric,Value
Conteggio,20
Min (ms),211.43
P50 (ms),211.88
P90 (ms),468.20
P95 (ms),482.76
Max (ms),521.40
Media (ms),260.83
Operazione: eth_chainId,10
Operazione: eth_blockNumber,4
Operazione: eth_getTransactionCount,2
Operazione: eth_getBlockByNumber,2
Operazione: eth_getBalance,1
Operazione: eth_call,1
