Metric,Value
Conteggio,39
Min (ms),211.37
P50 (ms),212.12
P90 (ms),538.41
P95 (ms),597.42
Max (ms),1320.24
Media (ms),312.31
Operazione: eth_chainId,21
Operazione: eth_blockNumber,9
Operazione: eth_getBalance,3
Operazione: eth_getTransactionCount,3
Operazione: eth_getBlockByNumber,3
