Metric,Value
Conteggio,593
Min (ms),211.22
P50 (ms),211.74
P90 (ms),212.79
P95 (ms),212.96
Max (ms),684.70
Media (ms),213.05
Operazione: eth_chainId,471
Operazione: eth_call,113
Operazione: eth_getTransactionCount,3
Operazione: eth_getBlockByNumber,3
Operazione: eth_blockNumber,3
