Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
165,1763045780.066337,127.0.0.1:55738,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3773.31
498,1763045803.048627,127.0.0.1:38586,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3633.80
762,1763045818.021599,127.0.0.1:42846,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3996.58
1080,1763045841.486099,127.0.0.1:39858,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4043.33
1313,1763045851.330245,127.0.0.1:60374,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3879.50
1559,1763045861.090455,127.0.0.1:38736,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3865.05
1760,1763045869.370426,127.0.0.1:36430,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,1015.78
1910,1763045875.486376,127.0.0.1:36430,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3704.55
2144,1763045884.378864,127.0.0.1:44180,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3715.10
2329,1763045891.666263,127.0.0.1:38280,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,979.16
2473,1763045897.743030,127.0.0.1:38280,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,3597.93
2727,1763045907.045988,127.0.0.1:36992,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4036.41
