Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
22,1763045773.901860,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,124.77
24,1763045774.066408,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,125.18
26,1763045774.200564,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,121.72
28,1763045774.352768,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,131.72
30,1763045774.495442,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,127.06
32,1763045774.630111,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,118.93
34,1763045774.770066,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,124.23
42,1763045775.020216,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,115.71
44,1763045775.158066,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,122.16
46,1763045775.292254,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,119.40
48,1763045775.439020,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,131.79
50,1763045775.574330,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,121.19
54,1763045775.740257,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,118.19
56,1763045775.873370,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,120.32
58,1763045776.015296,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,127.64
60,1763045776.148782,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,119.96
62,1763045776.281975,172.31.100.255:41800,54.211.237.84:443,TLS,-,-,-,-,-,-,119.66
83,1763045776.803058,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,112.78
85,1763045776.933945,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,114.84
87,1763045777.063987,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,116.98
89,1763045777.199419,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,121.74
91,1763045777.332932,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,119.49
96,1763045777.467244,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,118.86
99,1763045777.604476,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,123.17
108,1763045777.868636,172.31.100.255:41802,54.211.237.84:443,TLS,-,-,-,-,-,-,124.91
