Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
21,1763055408.529182,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,118.85
23,1763055408.669527,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,119.82
25,1763055408.802639,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,120.68
27,1763055408.937123,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,120.15
29,1763055409.073321,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,121.51
31,1763055409.206820,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,119.20
33,1763055409.347163,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,126.67
35,1763055409.487503,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,126.09
37,1763055409.622091,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,119.75
39,1763055409.763369,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,126.61
41,1763055409.910468,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,133.51
43,1763055410.044927,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,118.33
50,1763055410.174915,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,115.20
52,1763055410.306933,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,119.24
54,1763055410.436028,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,116.93
56,1763055410.570900,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,121.58
58,1763055410.704668,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,120.81
63,1763055410.850423,172.31.100.255:51902,54.211.237.84:443,TLS,-,-,-,-,-,-,115.65
