Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
200,1763055225.238427,127.0.0.1:48618,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4726.04
551,1763055250.564971,127.0.0.1:55274,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4614.68
887,1763055276.177357,127.0.0.1:39718,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4833.47
1227,1763055297.681804,127.0.0.1:43174,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4779.43
1518,1763055310.469303,127.0.0.1:46100,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,5286.87
1821,1763055323.640764,127.0.0.1:51394,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4816.86
2055,1763055334.208571,127.0.0.1:35348,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,938.79
2230,1763055341.979626,127.0.0.1:35348,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4620.22
2515,1763055354.095095,127.0.0.1:39112,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4877.47
2742,1763055364.197115,127.0.0.1:60358,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,1162.64
2915,1763055372.180652,127.0.0.1:60358,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4853.47
3191,1763055384.687216,127.0.0.1:38748,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,5087.34
