Metric,Value
Conteggio,597
Min (ms),317.32
P50 (ms),318.41
P90 (ms),318.95
P95 (ms),319.00
Max (ms),1672.62
Media (ms),321.86
Operazione: eth_chainId,472
Operazione: eth_call,113
Operazione: eth_blockNumber,6
Operazione: eth_getTransactionCount,3
Operazione: eth_getBlockByNumber,3
