Metric,Value
Conteggio,12.00
Min (ms),1467.98
P50 (ms),31436.97
P90 (ms),31846.09
P95 (ms),31846.09
Max (ms),32225.89
Media (ms),26375.02
Operazione: https://didcomm.org/routing/2.0/forward,2.00
