Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
36,1763592751.933905,172.31.100.255:46404,52.182.143.214:443,TLS,-,-,-,-,-,-,133.39
74,1763592758.044511,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,145.07
76,1763592758.195014,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,126.58
78,1763592758.337659,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,129.50
80,1763592758.487372,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,134.60
82,1763592758.631151,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,129.70
84,1763592758.783788,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,138.87
86,1763592758.924505,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,125.59
88,1763592759.064147,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,125.98
92,1763592759.212860,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,136.43
94,1763592759.384504,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,157.98
96,1763592759.587816,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,191.22
98,1763592759.791848,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,192.04
102,1763592760.000630,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,196.86
104,1763592760.137866,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,125.29
106,1763592760.274775,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,124.46
108,1763592760.411606,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,125.07
110,1763592760.550956,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,127.11
112,1763592760.688149,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,124.49
114,1763592760.826975,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,126.95
116,1763592761.013982,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,174.96
118,1763592761.213119,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,186.42
120,1763592761.512604,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,286.99
123,1763592761.712726,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,188.13
125,1763592761.914614,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,190.14
127,1763592762.111064,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,184.49
129,1763592762.253517,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,130.53
131,1763592762.388839,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,122.99
133,1763592762.540142,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,139.69
135,1763592762.711444,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,159.42
137,1763592762.910631,172.31.100.255:49180,107.23.106.148:443,TLS,-,-,-,-,-,-,185.43
