Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
696,1763592801.025029,127.0.0.1:48140,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,28458.11
1785,1763592891.464324,127.0.0.1:37392,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,29644.48
2861,1763593011.793588,127.0.0.1:39916,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30060.37
3866,1763593095.968776,127.0.0.1:37816,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,31189.80
4836,1763593175.028279,127.0.0.1:53358,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,31188.37
5809,1763593253.415559,127.0.0.1:60144,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30935.42
6535,1763593318.355679,127.0.0.1:3000,127.0.0.1:55402,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,057bf150-8686-4d7d-81a7-f313af5978d3,057bf150-8686-4d7d-81a7-f313af5978d3,0.00,1447.89
7166,1763593365.775102,127.0.0.1:44170,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,30959.08
8119,1763593444.100716,127.0.0.1:46822,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,31560.55
8835,1763593506.958337,127.0.0.1:3000,127.0.0.1:37384,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,f91b233f-07fb-493e-a862-c63c9bc8cb70,f91b233f-07fb-493e-a862-c63c9bc8cb70,0.00,1435.84
9483,1763593553.609281,127.0.0.1:55902,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,31286.69
10474,1763593630.496843,127.0.0.1:37506,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,31170.92
