Metric,Value
Conteggio,596
Min (ms),74.31
P50 (ms),74.70
P90 (ms),75.90
P95 (ms),75.96
Max (ms),374.24
Media (ms),76.02
Operazione: eth_chainId,473
Operazione: eth_call,113
Operazione: eth_blockNumber,4
Operazione: eth_getTransactionCount,3
Operazione: eth_getBlockByNumber,3
