Metric,Value
Conteggio,19
Min (ms),74.40
P50 (ms),74.79
P90 (ms),210.98
P95 (ms),211.34
Max (ms),225.29
Media (ms),97.49
Operazione: eth_chainId,10
Operazione: eth_blockNumber,3
Operazione: eth_getTransactionCount,2
Operazione: eth_getBlockByNumber,2
Operazione: eth_getBalance,1
Operazione: eth_call,1
