Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
13,1763226913.254885,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,200.84
15,1763226913.461676,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,175.78
17,1763226913.597900,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,121.90
19,1763226913.770278,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,150.77
21,1763226913.976581,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,189.70
23,1763226914.181992,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,189.42
25,1763226914.387989,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,190.26
27,1763226914.594685,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.17
29,1763226914.800015,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,189.34
31,1763226914.941116,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,125.54
33,1763226915.108810,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,153.13
37,1763226915.314837,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.03
39,1763226915.520993,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.82
43,1763226915.726933,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.43
45,1763226915.872177,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,131.40
47,1763226916.036754,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,150.37
49,1763226916.241938,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.48
51,1763226916.447643,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.03
53,1763226916.653761,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.10
55,1763226916.859920,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.15
57,1763226917.065762,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.61
59,1763226917.271550,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.74
61,1763226917.477822,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.92
63,1763226917.683396,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.98
65,1763226917.889892,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.92
67,1763226918.095840,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.78
69,1763226918.302742,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.96
71,1763226918.508160,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,190.48
73,1763226918.713782,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.57
75,1763226918.919775,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.12
77,1763226919.126101,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,189.80
82,1763226919.331903,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,186.87
84,1763226919.537905,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.18
86,1763226919.698567,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,147.54
90,1763226919.847002,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,134.29
92,1763226920.053774,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,193.19
98,1763226920.216423,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,115.57
100,1763226920.361665,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,130.75
102,1763226920.568751,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,195.16
104,1763226920.774628,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,192.10
106,1763226920.980088,172.31.100.255:45920,34.192.170.154:443,TLS,-,-,-,-,-,-,191.88
122,1763226921.583784,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,199.85
125,1763226921.783470,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,186.51
127,1763226921.984461,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.13
130,1763226922.119553,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,122.69
135,1763226922.286248,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,154.95
137,1763226922.488662,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.30
139,1763226922.688992,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,187.88
141,1763226922.890491,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.78
143,1763226923.091829,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.48
148,1763226923.295583,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,191.36
151,1763226923.496271,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,188.44
153,1763226923.698479,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,188.29
155,1763226923.900702,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.00
157,1763226924.102354,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,188.74
161,1763226924.304733,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.50
164,1763226924.456968,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,138.16
167,1763226924.699683,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,230.05
169,1763226924.843065,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,129.86
171,1763226925.014862,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,158.70
173,1763226925.217649,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.59
177,1763226925.421016,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,191.42
180,1763226925.565763,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,131.16
183,1763226925.708626,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,129.78
187,1763226925.927558,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,204.83
189,1763226926.072658,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,132.17
192,1763226926.334338,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,248.44
200,1763226926.537652,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.01
204,1763226926.740425,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,187.84
206,1763226926.884423,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,130.66
210,1763226927.045443,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,147.88
212,1763226927.249346,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,189.69
220,1763226927.452804,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,183.63
222,1763226927.656436,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.37
226,1763226927.797791,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,128.65
230,1763226927.964263,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,153.14
232,1763226928.166047,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,188.98
236,1763226928.370322,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,171.28
240,1763226928.536415,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,153.55
242,1763226928.778461,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,229.27
244,1763226928.982203,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.81
246,1763226929.200704,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,205.47
252,1763226929.396709,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,182.44
256,1763226929.595235,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,185.25
258,1763226929.734528,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,126.44
260,1763226929.900986,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,153.48
262,1763226930.106344,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,192.32
264,1763226930.309836,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.55
266,1763226930.514259,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.96
270,1763226930.719105,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,191.61
272,1763226930.923203,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,190.92
274,1763226931.080410,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,144.21
277,1763226931.227262,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,133.47
280,1763226931.434623,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,194.04
284,1763226931.639583,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,191.31
286,1763226931.844366,172.31.100.255:55788,34.192.170.154:443,TLS,-,-,-,-,-,-,191.62
