Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
318,1763226041.777932,127.0.0.1:40878,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13426.42
850,1763226084.574858,127.0.0.1:35690,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12177.18
1434,1763226132.451536,127.0.0.1:50160,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12752.27
2001,1763226181.436271,127.0.0.1:59406,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13696.95
2513,1763226215.719628,127.0.0.1:36016,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13348.22
3029,1763226250.823301,127.0.0.1:46760,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13720.65
3469,1763226278.904424,127.0.0.1:3000,127.0.0.1:51254,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,f99d78d8-8be5-452a-89a8-bcf1122c611c,f99d78d8-8be5-452a-89a8-bcf1122c611c,0.00,1251.30
3838,1763226300.218676,127.0.0.1:35746,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13812.11
4344,1763226333.794740,127.0.0.1:50658,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13598.40
4729,1763226361.797311,127.0.0.1:3000,127.0.0.1:38288,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,1ad017c4-4ed7-4d49-8492-36a1e0b02b9b,1ad017c4-4ed7-4d49-8492-36a1e0b02b9b,0.00,1718.87
5082,1763226383.184067,127.0.0.1:37342,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13971.91
5598,1763226416.829859,127.0.0.1:60522,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,13603.87
