Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
18,1763141110.688393,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,152.74
20,1763141110.938912,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,220.75
22,1763141111.142495,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,190.62
24,1763141111.350606,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,188.42
26,1763141111.552420,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,185.61
28,1763141111.758905,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,191.93
30,1763141111.962590,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,188.57
32,1763141112.255381,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,279.07
34,1763141112.557821,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,287.95
36,1763141112.987997,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,414.06
43,1763141113.191037,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,190.74
48,1763141113.396435,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,190.33
50,1763141113.600808,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,191.35
52,1763141113.805825,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,191.17
54,1763141113.950430,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,131.72
56,1763141114.107154,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,144.16
58,1763141114.253673,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,133.70
60,1763141114.420971,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,153.53
62,1763141114.830929,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,397.06
64,1763141114.979770,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,132.51
68,1763141115.123905,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,126.19
70,1763141115.548935,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,411.69
72,1763141115.752619,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,191.46
74,1763141115.957751,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,191.62
76,1763141116.164251,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,192.55
83,1763141116.367901,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,158.03
85,1763141116.573640,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,191.53
87,1763141116.776067,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,189.28
89,1763141116.981998,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,192.18
91,1763141117.185863,172.31.100.255:47824,44.214.111.58:443,TLS,-,-,-,-,-,-,190.07
117,1763141117.904708,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,257.18
119,1763141118.203014,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,267.71
124,1763141118.415937,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,199.91
127,1763141118.619177,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,182.75
129,1763141118.823884,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,189.33
131,1763141119.028865,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,189.65
133,1763141119.438531,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,394.36
138,1763141119.644068,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.13
141,1763141119.786302,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,124.81
145,1763141119.950318,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,148.09
147,1763141120.155079,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.12
149,1763141120.359639,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,189.83
153,1763141120.497453,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,123.81
155,1763141120.633892,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,122.81
158,1763141120.874198,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,227.32
161,1763141121.014484,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,127.37
163,1763141121.179298,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,152.21
165,1763141121.384250,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,191.85
169,1763141121.590836,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,193.71
171,1763141121.882737,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,276.05
178,1763141122.031622,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,115.24
181,1763141122.205962,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,160.01
184,1763141122.342953,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,124.63
190,1763141122.716215,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,359.13
194,1763141123.127492,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,397.03
205,1763141123.331229,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,154.74
210,1763141123.535309,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.47
214,1763141123.843671,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,295.73
216,1763141124.050003,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,192.71
218,1763141124.252994,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.50
224,1763141124.457608,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.24
228,1763141124.661930,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,191.25
230,1763141124.867142,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,192.83
232,1763141125.070455,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.13
234,1763141125.284783,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,201.51
236,1763141125.480587,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,182.17
240,1763141125.685734,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,190.94
242,1763141125.891250,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,192.26
246,1763141126.094915,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,189.57
248,1763141126.300527,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,192.24
250,1763141126.509234,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,195.83
252,1763141126.709058,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,186.79
256,1763141126.914114,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,192.05
258,1763141127.118756,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,191.41
260,1763141127.538275,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,406.20
263,1763141127.677798,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,127.21
269,1763141128.046833,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,356.24
271,1763141128.244857,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,185.40
273,1763141128.449915,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,192.31
275,1763141128.655469,172.31.100.255:54034,44.214.111.58:443,TLS,-,-,-,-,-,-,191.87
295,1763141129.442905,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,723.56,378.07
299,1763141129.583961,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,864.62,124.74
308,1763141129.721805,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,1002.46,124.46
313,1763141129.859217,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,1139.87,122.73
316,1763141130.091737,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,1372.39,218.41
322,1763141130.396222,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,1676.88,279.81
324,1763141130.600572,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,1881.23,190.77
326,1763141130.805780,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,2086.44,192.64
331,1763141130.938945,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,2219.60,119.50
334,1763141131.092287,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,2372.94,139.61
336,1763141131.317892,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,2598.55,211.78
338,1763141131.522832,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,2803.49,192.02
340,1763141131.726768,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,3007.43,191.53
342,1763141131.931475,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,3212.13,191.07
347,1763141132.066946,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,3347.60,122.72
350,1763141132.238825,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,3519.48,160.03
352,1763141132.546668,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,3827.33,295.15
354,1763141133.023122,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,4303.78,464.51
360,1763141133.186790,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,4467.45,150.21
369,1763141133.529089,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,4809.75,328.81
371,1763141133.689780,172.31.100.255:32856,44.214.111.58:443,TLS,-,-,-,-,-,4970.44,147.00
