Metric,Value
Conteggio,12
Min (ms),1186.11
P50 (ms),10279.51
P90 (ms),10580.97
P95 (ms),10580.97
Max (ms),10741.95
Media (ms),8825.46
Operazione: https://didcomm.org/routing/2.0/forward,2
