Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
13,1763476332.435080,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,200.28
15,1763476332.641358,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,175.53
17,1763476332.895415,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,238.56
19,1763476333.100821,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,187.87
21,1763476333.303396,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,187.57
23,1763476333.510118,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,192.79
25,1763476333.719417,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,194.10
27,1763476333.923157,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,188.66
29,1763476334.132750,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,193.45
31,1763476334.332426,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,183.53
33,1763476334.533703,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,186.65
35,1763476334.845145,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,296.67
37,1763476335.049222,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,189.59
39,1763476335.250237,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,186.62
41,1763476335.459698,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,196.07
43,1763476335.658685,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,184.95
45,1763476335.863679,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,190.89
47,1763476336.069839,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,192.05
49,1763476336.274486,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,190.72
51,1763476336.483373,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,195.06
53,1763476336.630538,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,132.96
55,1763476336.894244,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,249.90
57,1763476337.094054,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,185.57
59,1763476337.297576,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,189.69
61,1763476337.516847,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,205.19
63,1763476337.674856,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,143.82
65,1763476337.929449,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,240.72
67,1763476338.088067,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,144.00
69,1763476338.327300,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,225.34
71,1763476338.470175,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,128.51
73,1763476338.706344,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,223.17
75,1763476338.937108,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,216.78
77,1763476339.141719,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,190.70
79,1763476339.350907,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,195.36
81,1763476339.556682,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,192.00
83,1763476339.691013,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,121.91
85,1763476339.857900,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,153.27
87,1763476340.080391,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,208.88
89,1763476340.268884,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,174.69
91,1763476340.473394,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,190.93
93,1763476340.681097,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,194.07
95,1763476340.885565,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,190.14
97,1763476341.086134,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,186.71
99,1763476341.300740,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,202.01
101,1763476341.442769,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,128.12
103,1763476341.704494,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,245.86
105,1763476341.909714,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,191.60
107,1763476342.116107,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,192.58
109,1763476342.326090,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,196.35
111,1763476342.519746,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,180.00
113,1763476342.726107,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,192.69
115,1763476342.930091,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,190.31
117,1763476343.156555,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,212.73
119,1763476343.368649,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,198.21
121,1763476343.509244,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,126.88
123,1763476343.755272,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,232.31
125,1763476343.903804,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,132.05
128,1763476344.162480,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,238.34
130,1763476344.363322,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,186.31
132,1763476344.572856,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,196.31
134,1763476344.773709,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,187.28
136,1763476344.985399,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,197.94
141,1763476345.146312,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,116.49
143,1763476345.394763,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,233.92
145,1763476345.609441,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,201.47
147,1763476345.798426,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,175.08
149,1763476346.006529,172.31.100.255:50428,35.172.145.92:443,TLS,-,-,-,-,-,-,194.81
171,1763476346.826232,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,198.17
173,1763476347.030148,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,190.41
178,1763476347.176585,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,133.50
181,1763476347.335810,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,145.96
183,1763476347.543452,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,194.39
185,1763476347.685389,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,128.57
187,1763476347.851050,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,152.27
189,1763476348.057553,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,193.27
193,1763476348.201231,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,129.94
196,1763476348.340979,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,126.27
199,1763476348.561317,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,206.95
201,1763476348.775223,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,200.57
203,1763476349.003476,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,214.13
205,1763476349.277558,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,260.41
210,1763476349.418913,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,128.28
213,1763476349.596068,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,163.97
215,1763476349.801766,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,192.88
217,1763476350.006379,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,191.30
219,1763476350.303896,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,284.53
223,1763476350.446143,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,129.18
226,1763476350.589941,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,130.56
229,1763476350.814045,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,210.97
231,1763476351.034601,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,207.39
234,1763476351.178503,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,130.25
242,1763476351.431306,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,239.68
244,1763476351.570427,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,125.91
248,1763476351.840137,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,244.79
250,1763476352.043398,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,189.70
254,1763476352.255784,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,199.54
258,1763476352.477589,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,201.92
260,1763476352.680472,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,190.04
262,1763476352.820459,172.31.100.255:36086,35.172.145.92:443,TLS,-,-,-,-,-,-,126.46
