Metric,Value
Conteggio,12
Min (ms),966.09
P50 (ms),13029.92
P90 (ms),13849.66
P95 (ms),13849.66
Max (ms),13960.55
Media (ms),11274.30
Operazione: https://didcomm.org/routing/2.0/forward,2
