Metric,Value
Conteggio,12.00
Min (ms),953.10
P50 (ms),13112.36
P90 (ms),13696.34
P95 (ms),13696.34
Max (ms),13865.30
Media (ms),11229.13
Operazione: https://didcomm.org/routing/2.0/forward,2.00
