Metric,Value
Conteggio,598
Min (ms),0.14
P50 (ms),0.38
P90 (ms),0.85
P95 (ms),1.08
Max (ms),284.94
Media (ms),1.58
Operazione: eth_chainId,474
Operazione: eth_call,113
Operazione: eth_blockNumber,5
Operazione: eth_getTransactionCount,3
Operazione: eth_getBlockByNumber,3
