Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
86,1762803130.649504,127.0.0.1:44526,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,451.07
259,1762803136.103030,127.0.0.1:44536,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,404.93
432,1762803141.389220,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,358.71
576,1762803142.943453,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,504.86
700,1762803143.930770,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,357.85
824,1762803144.817278,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,329.71
924,1762803145.645382,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,136.53
1002,1762803146.202145,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,345.98
1112,1762803146.974123,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,351.35
1202,1762803147.684149,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,117.02
1280,1762803148.324823,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,404.86
1390,1762803149.284931,127.0.0.1:41040,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,453.87
