Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
15,1763216050.556949,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,201.27
17,1763216050.762086,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,179.13
19,1763216050.969987,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,193.87
21,1763216051.171421,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,181.99
23,1763216051.375526,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,187.73
25,1763216051.580410,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,189.64
27,1763216051.784970,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,189.49
29,1763216051.935638,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,135.67
31,1763216052.093849,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,142.71
33,1763216052.243302,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,133.19
35,1763216052.421953,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,164.59
37,1763216052.588137,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,152.50
39,1763216052.810712,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,208.74
41,1763216052.960057,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,135.74
43,1763216053.116801,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,143.06
45,1763216053.459953,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,330.10
47,1763216053.732419,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,257.02
49,1763216053.919007,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,170.16
53,1763216054.097304,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,164.57
55,1763216054.346604,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,236.65
57,1763216054.541653,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,181.04
59,1763216054.858676,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,303.34
61,1763216055.016619,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,143.01
63,1763216055.186789,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,155.58
65,1763216055.474116,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,274.05
67,1763216055.779760,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,292.13
69,1763216055.941039,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,145.24
76,1763216056.085844,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,125.66
78,1763216056.394535,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,294.71
80,1763216056.804846,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,397.91
82,1763216057.009393,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,190.58
84,1763216057.212842,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,189.93
88,1763216057.378994,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,120.12
90,1763216057.623134,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,231.36
92,1763216057.765667,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,129.67
94,1763216057.931415,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,151.76
96,1763216058.134774,172.31.100.255:43046,54.211.237.84:443,TLS,-,-,-,-,-,-,189.70
118,1763216058.685278,172.31.100.255:35830,54.211.237.84:443,TLS,-,-,-,-,-,-,120.52
120,1763216058.851121,172.31.100.255:35830,54.211.237.84:443,TLS,-,-,-,-,-,-,150.64
