Metric,Value
Conteggio,12
Min (ms),1007.45
P50 (ms),13876.07
P90 (ms),14452.61
P95 (ms),14452.61
Max (ms),14542.96
Media (ms),11833.07
Operazione: https://didcomm.org/routing/2.0/forward,2
