Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
42,1763064948.470250,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,125.87
46,1763064948.648128,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,142.57
48,1763064948.855997,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,193.16
50,1763064949.004136,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,124.99
52,1763064949.167764,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,147.33
54,1763064949.375486,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,191.13
56,1763064949.583268,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,193.88
58,1763064949.793978,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,196.09
60,1763064949.998856,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,189.86
62,1763064950.207308,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,191.91
64,1763064950.414520,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,191.88
66,1763064950.623858,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,195.13
68,1763064950.830460,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,191.07
70,1763064951.038175,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,192.16
72,1763064951.241311,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,184.42
77,1763064951.385989,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,124.64
80,1763064951.532580,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,131.98
85,1763064951.767292,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,222.18
87,1763064951.974547,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,192.82
89,1763064952.183171,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,193.96
93,1763064952.389367,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,157.68
95,1763064952.598396,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,196.24
97,1763064952.805461,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,193.67
99,1763064953.013924,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,194.84
101,1763064953.224421,172.31.100.255:42720,44.214.111.58:443,TLS,-,-,-,-,-,-,195.80
120,1763064953.845764,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,207.32
123,1763064953.984619,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,123.61
125,1763064954.156601,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,158.32
127,1763064954.292135,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,122.58
132,1763064954.429285,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,123.73
135,1763064954.568451,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,125.09
139,1763064954.779825,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,197.30
141,1763064954.987171,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,194.37
143,1763064955.195239,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,194.13
145,1763064955.371540,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,160.10
150,1763064955.516683,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,130.90
153,1763064955.717459,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,186.88
155,1763064955.923078,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,191.83
157,1763064956.130700,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,193.37
159,1763064956.339209,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,195.09
164,1763064956.523119,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,162.95
169,1763064956.663702,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,126.50
172,1763064956.858945,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,182.14
174,1763064957.066337,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,193.75
176,1763064957.274838,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,194.70
182,1763064957.481232,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,170.01
186,1763064957.651517,172.31.100.255:58474,44.214.111.58:443,TLS,-,-,-,-,-,-,157.47
