Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
13,1763063825.113638,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,183.95
16,1763063825.297572,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,149.64
19,1763063825.431481,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,120.32
21,1763063825.591035,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,136.50
23,1763063825.789970,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,182.98
25,1763063825.988962,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,184.34
27,1763063826.188008,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,184.30
29,1763063826.387955,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,185.17
31,1763063826.688039,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,284.55
33,1763063826.887222,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,184.73
35,1763063827.087243,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,185.68
37,1763063827.287900,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,185.84
39,1763063827.488765,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,184.84
43,1763063827.688618,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,172.90
45,1763063827.897471,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,194.56
47,1763063828.092127,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,181.93
49,1763063828.292614,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,186.56
51,1763063828.484284,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,177.60
55,1763063828.695193,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,155.09
57,1763063828.895819,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,186.73
59,1763063829.098014,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,189.41
61,1763063829.300019,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,188.24
63,1763063829.441322,172.31.100.255:37584,44.214.111.58:443,TLS,-,-,-,-,-,-,127.82
82,1763063830.053389,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,111.62
84,1763063830.206730,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,120.24
86,1763063830.336710,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,117.89
88,1763063830.474503,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,115.19
93,1763063830.606922,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,116.51
96,1763063830.745529,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,122.54
98,1763063830.919554,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,157.98
100,1763063831.122616,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,189.04
102,1763063831.325880,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,185.16
104,1763063831.528873,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,186.82
108,1763063831.732026,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,188.32
112,1763063831.869572,172.31.100.255:45898,44.214.111.58:443,TLS,-,-,-,-,-,-,122.41
