Metric,Value
Conteggio,12
Min (ms),1412.77
P50 (ms),28182.27
P90 (ms),30113.06
P95 (ms),30113.06
Max (ms),65082.45
Media (ms),26897.71
Operazione: https://didcomm.org/routing/2.0/forward,2
