Metric,Value
Conteggio,12.00
Min (ms),1364.16
P50 (ms),11612.45
P90 (ms),12152.45
P95 (ms),12152.45
Max (ms),12194.45
Media (ms),10015.18
Operazione: https://didcomm.org/routing/2.0/forward,2.00
