Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
299,1763155766.298467,127.0.0.1:52422,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12027.41
819,1763155811.053691,127.0.0.1:36446,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,11787.17
1378,1763155869.214250,127.0.0.1:50162,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,11927.91
1883,1763155907.517253,127.0.0.1:54306,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12736.50
2361,1763155939.473588,127.0.0.1:44696,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12860.83
2826,1763155971.612960,127.0.0.1:53018,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12539.69
3205,1763155996.815483,127.0.0.1:3000,127.0.0.1:48474,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,6ece4741-64ff-4d27-a5d1-a5421b4e4826,6ece4741-64ff-4d27-a5d1-a5421b4e4826,0.00,1389.58
3521,1763156015.481927,127.0.0.1:43660,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12067.82
3988,1763156045.944220,127.0.0.1:53122,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12115.76
4345,1763156071.017963,127.0.0.1:3000,127.0.0.1:50314,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,456f0f3a-a4d5-42b6-84ee-274603a80241,456f0f3a-a4d5-42b6-84ee-274603a80241,0.00,1246.40
4661,1763156089.815685,127.0.0.1:54708,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,11851.36
5141,1763156120.285189,127.0.0.1:54684,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,12213.80
